大項目,検索ワード,セル,値
月間搬入台数,,C4,
月間搬入量,,C5,
終了台数,搬入台数,C6,
搬入量,搬入量,C7,
搬出量,搬出量,C8,
A客（事業系）割合,A重量,C9,
B客（移転・残置）割合,B重量,C10,
C客（解体）割合,C重量,C11,
D客（建設）割合,D重量,C12,
E客（中間・積保）割合,E重量,C13,
F客（その他）割合,F重量,C14,
A客（事業系）台数,A台数,C15,
B客（移転・残置）台数,B台数,C16,
C客（解体）台数,C台数,C17,
D客（建設）台数,D台数,C18,
E客（中間・積保）台数,E台数,C19,
F客（その他）台数,F台数,C20,
売上金額,売上計,C21,
仕入金額,仕入計,C22,
売上平均単価,,C23,
仕入平均単価,,C24,
粗利,,C25,
粗利単価,,C26,
粗利単価（当日）,,C27,
ブロック平均単価,,C28,
有価物,合計_有価,C29,
スクラップ（当日）,スクラップ,C30,
スクラップ（月間）,,C31,
シュレッダー,ヤード（シュレッダー）,C32,
選別（搬入重量）,選別,C33,
廃プラ,,C34,
焼却,,C35,
破砕,,C36,
安定,,C37,
B,,C38,
