必要項目,設定単価,CSVシート,業者名,種類名,品名,単価
処分費,60,出荷,ｵﾈｽﾄ,,金庫,
処分費,60,ヤード,,処分費,金庫,
有価物,31.5,ヤード,,,GAH鋼･鉄筋等,
有価物,31.5,ヤード,,,GC軽鉄･ｽﾁｰﾙ類,
有価物,31.5,ヤード,,,GC軽鉄・ｽﾁｰﾙ類,
有価物,31.5,ヤード,,,GD,
有価物,180,ヤード,,,ｱﾙﾐ類,
有価物,180,ヤード,,,ｽﾃﾝﾚｽ,
有価物,33,ヤード,,,ﾄﾗﾝｽ,
有価物,60,ヤード,,,ﾓｰﾀｰ,
有価物,31.5,ヤード,,,ﾗｼﾞｴﾀｰ,
有価物,28,ヤード,,,室外機,
有価物,31.5,ヤード,,,鉄千地,
有価物,500,ヤード,,,銅,
有価物,100,ヤード,,,配線,
,50,受入,,,ﾗｼﾞｴﾀｰ,0
,15,受入,,,ｷﾞﾛ材,0
,800,受入,,,銅,0
,15,受入,,,ﾄﾗﾝｽ,0
,50,受入,,,給湯器,0
,5,受入,,,鉄千地,0
,50,受入,,,配線,0
,50,受入,,,ｱﾙﾐ類,0
,50,受入,,,ｽﾃﾝﾚｽ,0
,15,受入,,,GA H鋼･鉄筋等,0
,15,受入,,,GB,0
,15,受入,,,GC 軽鉄･ｽﾁｰﾙ類,0
,5,受入,,,GD,0
,10,受入,,,室外機,0
,50,受入,,,ｸｰﾗｰﾊﾟｲﾌﾟ,0
,10,受入,,,ｱﾙﾐ缶,0
,10,受入,,,ｽﾁｰﾙ缶,0
,50,受入,,,304ｽﾃﾝ解体,0
,15,受入,,,ﾓｰﾀｰ,0
,50,受入,,,機械ｱﾙﾐ,0
